year,month,month_padded,month_long,month_short,day,day_padded,day_ord,date_1,date_2,date_3,births
1994,5,05,May,May,29,29,29th,"29th May, 1994","May 29, 1994",1994-05-29,8205
1994,5,05,May,May,30,30,30th,"30th May, 1994","May 30, 1994",1994-05-30,8468
1994,5,05,May,May,31,31,31st,"31st May, 1994","May 31, 1994",1994-05-31,11525
1994,6,06,June,Jun,1,01,1st,"1st June, 1994","Jun 1, 1994",1994-06-01,12349
1994,6,06,June,Jun,2,02,2nd,"2nd June, 1994","Jun 2, 1994",1994-06-02,12166
1994,6,06,June,Jun,3,03,3rd,"3rd June, 1994","Jun 3, 1994",1994-06-03,11799
1994,6,06,June,Jun,4,04,4th,"4th June, 1994","Jun 4, 1994",1994-06-04,9182
1994,6,06,June,Jun,5,05,5th,"5th June, 1994","Jun 5, 1994",1994-06-05,8289
1994,6,06,June,Jun,6,06,6th,"6th June, 1994","Jun 6, 1994",1994-06-06,11130
1994,6,06,June,Jun,7,07,7th,"7th June, 1994","Jun 7, 1994",1994-06-07,12145
1994,6,06,June,Jun,8,08,8th,"8th June, 1994","Jun 8, 1994",1994-06-08,11784
1994,6,06,June,Jun,9,09,9th,"9th June, 1994","Jun 9, 1994",1994-06-09,11648
1994,6,06,June,Jun,10,10,10th,"10th June, 1994","Jun 10, 1994",1994-06-10,12006
1994,6,06,June,Jun,11,11,11th,"11th June, 1994","Jun 11, 1994",1994-06-11,8618
1994,6,06,June,Jun,12,12,12th,"12th June, 1994","Jun 12, 1994",1994-06-12,8171
1994,6,06,June,Jun,13,13,13th,"13th June, 1994","Jun 13, 1994",1994-06-13,10692
1994,6,06,June,Jun,14,14,14th,"14th June, 1994","Jun 14, 1994",1994-06-14,12074
1994,6,06,June,Jun,15,15,15th,"15th June, 1994","Jun 15, 1994",1994-06-15,11954
1994,6,06,June,Jun,16,16,16th,"16th June, 1994","Jun 16, 1994",1994-06-16,11852
1994,6,06,June,Jun,17,17,17th,"17th June, 1994","Jun 17, 1994",1994-06-17,11744
1994,6,06,June,Jun,18,18,18th,"18th June, 1994","Jun 18, 1994",1994-06-18,8907
1994,6,06,June,Jun,19,19,19th,"19th June, 1994","Jun 19, 1994",1994-06-19,8302
1994,6,06,June,Jun,20,20,20th,"20th June, 1994","Jun 20, 1994",1994-06-20,11337
1994,6,06,June,Jun,21,21,21st,"21st June, 1994","Jun 21, 1994",1994-06-21,12182
1994,6,06,June,Jun,22,22,22nd,"22nd June, 1994","Jun 22, 1994",1994-06-22,12213
1994,6,06,June,Jun,23,23,23rd,"23rd June, 1994","Jun 23, 1994",1994-06-23,11939
1994,6,06,June,Jun,24,24,24th,"24th June, 1994","Jun 24, 1994",1994-06-24,11979
1994,6,06,June,Jun,25,25,25th,"25th June, 1994","Jun 25, 1994",1994-06-25,9047
1994,6,06,June,Jun,26,26,26th,"26th June, 1994","Jun 26, 1994",1994-06-26,8306
1994,6,06,June,Jun,27,27,27th,"27th June, 1994","Jun 27, 1994",1994-06-27,11309
1994,6,06,June,Jun,28,28,28th,"28th June, 1994","Jun 28, 1994",1994-06-28,12211
1994,6,06,June,Jun,29,29,29th,"29th June, 1994","Jun 29, 1994",1994-06-29,12245
1994,6,06,June,Jun,30,30,30th,"30th June, 1994","Jun 30, 1994",1994-06-30,12157
1994,7,07,July,Jul,1,01,1st,"1st July, 1994","Jul 1, 1994",1994-07-01,12454
1994,7,07,July,Jul,2,02,2nd,"2nd July, 1994","Jul 2, 1994",1994-07-02,9268
1994,7,07,July,Jul,3,03,3rd,"3rd July, 1994","Jul 3, 1994",1994-07-03,8298
1994,7,07,July,Jul,4,04,4th,"4th July, 1994","Jul 4, 1994",1994-07-04,8564
1994,7,07,July,Jul,5,05,5th,"5th July, 1994","Jul 5, 1994",1994-07-05,11609
1994,7,07,July,Jul,6,06,6th,"6th July, 1994","Jul 6, 1994",1994-07-06,13086
1994,7,07,July,Jul,7,07,7th,"7th July, 1994","Jul 7, 1994",1994-07-07,13049
1994,7,07,July,Jul,8,08,8th,"8th July, 1994","Jul 8, 1994",1994-07-08,12623
1994,7,07,July,Jul,9,09,9th,"9th July, 1994","Jul 9, 1994",1994-07-09,9325
1994,7,07,July,Jul,10,10,10th,"10th July, 1994","Jul 10, 1994",1994-07-10,8684
1994,7,07,July,Jul,11,11,11th,"11th July, 1994","Jul 11, 1994",1994-07-11,11567
1994,7,07,July,Jul,12,12,12th,"12th July, 1994","Jul 12, 1994",1994-07-12,12507
1994,7,07,July,Jul,13,13,13th,"13th July, 1994","Jul 13, 1994",1994-07-13,12134
1994,7,07,July,Jul,14,14,14th,"14th July, 1994","Jul 14, 1994",1994-07-14,12485
1994,7,07,July,Jul,15,15,15th,"15th July, 1994","Jul 15, 1994",1994-07-15,12691
1994,7,07,July,Jul,16,16,16th,"16th July, 1994","Jul 16, 1994",1994-07-16,9547
1994,7,07,July,Jul,17,17,17th,"17th July, 1994","Jul 17, 1994",1994-07-17,8848
1994,7,07,July,Jul,18,18,18th,"18th July, 1994","Jul 18, 1994",1994-07-18,11561
1994,7,07,July,Jul,19,19,19th,"19th July, 1994","Jul 19, 1994",1994-07-19,12583
1994,7,07,July,Jul,20,20,20th,"20th July, 1994","Jul 20, 1994",1994-07-20,12378
1994,7,07,July,Jul,21,21,21st,"21st July, 1994","Jul 21, 1994",1994-07-21,12447
1994,7,07,July,Jul,22,22,22nd,"22nd July, 1994","Jul 22, 1994",1994-07-22,12486
1994,7,07,July,Jul,23,23,23rd,"23rd July, 1994","Jul 23, 1994",1994-07-23,9463
1994,7,07,July,Jul,24,24,24th,"24th July, 1994","Jul 24, 1994",1994-07-24,8734
1994,7,07,July,Jul,25,25,25th,"25th July, 1994","Jul 25, 1994",1994-07-25,11757
1994,7,07,July,Jul,26,26,26th,"26th July, 1994","Jul 26, 1994",1994-07-26,12591
1994,7,07,July,Jul,27,27,27th,"27th July, 1994","Jul 27, 1994",1994-07-27,12423
1994,7,07,July,Jul,28,28,28th,"28th July, 1994","Jul 28, 1994",1994-07-28,12539
1994,7,07,July,Jul,29,29,29th,"29th July, 1994","Jul 29, 1994",1994-07-29,12231
1994,7,07,July,Jul,30,30,30th,"30th July, 1994","Jul 30, 1994",1994-07-30,9340
1994,7,07,July,Jul,31,31,31st,"31st July, 1994","Jul 31, 1994",1994-07-31,8590
1994,8,08,August,Aug,1,01,1st,"1st August, 1994","Aug 1, 1994",1994-08-01,11428
1994,8,08,August,Aug,2,02,2nd,"2nd August, 1994","Aug 2, 1994",1994-08-02,12622
1994,8,08,August,Aug,3,03,3rd,"3rd August, 1994","Aug 3, 1994",1994-08-03,12147
1994,8,08,August,Aug,4,04,4th,"4th August, 1994","Aug 4, 1994",1994-08-04,12601
1994,8,08,August,Aug,5,05,5th,"5th August, 1994","Aug 5, 1994",1994-08-05,12251
1994,8,08,August,Aug,6,06,6th,"6th August, 1994","Aug 6, 1994",1994-08-06,9336
1994,8,08,August,Aug,7,07,7th,"7th August, 1994","Aug 7, 1994",1994-08-07,8517
1994,8,08,August,Aug,8,08,8th,"8th August, 1994","Aug 8, 1994",1994-08-08,11528
1994,8,08,August,Aug,9,09,9th,"9th August, 1994","Aug 9, 1994",1994-08-09,12643
1994,8,08,August,Aug,10,10,10th,"10th August, 1994","Aug 10, 1994",1994-08-10,12525
1994,8,08,August,Aug,11,11,11th,"11th August, 1994","Aug 11, 1994",1994-08-11,12147
1994,8,08,August,Aug,12,12,12th,"12th August, 1994","Aug 12, 1994",1994-08-12,12479
1994,8,08,August,Aug,13,13,13th,"13th August, 1994","Aug 13, 1994",1994-08-13,9474
1994,8,08,August,Aug,14,14,14th,"14th August, 1994","Aug 14, 1994",1994-08-14,8926
1994,8,08,August,Aug,15,15,15th,"15th August, 1994","Aug 15, 1994",1994-08-15,11391
1994,8,08,August,Aug,16,16,16th,"16th August, 1994","Aug 16, 1994",1994-08-16,12605
1994,8,08,August,Aug,17,17,17th,"17th August, 1994","Aug 17, 1994",1994-08-17,12344
1994,8,08,August,Aug,18,18,18th,"18th August, 1994","Aug 18, 1994",1994-08-18,12313
1994,8,08,August,Aug,19,19,19th,"19th August, 1994","Aug 19, 1994",1994-08-19,12227
1994,8,08,August,Aug,20,20,20th,"20th August, 1994","Aug 20, 1994",1994-08-20,9646
1994,8,08,August,Aug,21,21,21st,"21st August, 1994","Aug 21, 1994",1994-08-21,8663
1994,8,08,August,Aug,22,22,22nd,"22nd August, 1994","Aug 22, 1994",1994-08-22,11489
1994,8,08,August,Aug,23,23,23rd,"23rd August, 1994","Aug 23, 1994",1994-08-23,12284
1994,8,08,August,Aug,24,24,24th,"24th August, 1994","Aug 24, 1994",1994-08-24,12176
1994,8,08,August,Aug,25,25,25th,"25th August, 1994","Aug 25, 1994",1994-08-25,12076
1994,8,08,August,Aug,26,26,26th,"26th August, 1994","Aug 26, 1994",1994-08-26,12122
1994,8,08,August,Aug,27,27,27th,"27th August, 1994","Aug 27, 1994",1994-08-27,9171
1994,8,08,August,Aug,28,28,28th,"28th August, 1994","Aug 28, 1994",1994-08-28,8779
1994,8,08,August,Aug,29,29,29th,"29th August, 1994","Aug 29, 1994",1994-08-29,11560
1994,8,08,August,Aug,30,30,30th,"30th August, 1994","Aug 30, 1994",1994-08-30,12431
1994,8,08,August,Aug,31,31,31st,"31st August, 1994","Aug 31, 1994",1994-08-31,12272
1994,9,09,September,Sep,1,01,1st,"1st September, 1994","Sep 1, 1994",1994-09-01,12183
1994,9,09,September,Sep,2,02,2nd,"2nd September, 1994","Sep 2, 1994",1994-09-02,12099
1994,9,09,September,Sep,3,03,3rd,"3rd September, 1994","Sep 3, 1994",1994-09-03,9042
1994,9,09,September,Sep,4,04,4th,"4th September, 1994","Sep 4, 1994",1994-09-04,8420
1994,9,09,September,Sep,5,05,5th,"5th September, 1994","Sep 5, 1994",1994-09-05,8378
1994,9,09,September,Sep,6,06,6th,"6th September, 1994","Sep 6, 1994",1994-09-06,11448
1994,9,09,September,Sep,7,07,7th,"7th September, 1994","Sep 7, 1994",1994-09-07,12660
1994,9,09,September,Sep,8,08,8th,"8th September, 1994","Sep 8, 1994",1994-09-08,12693
1994,9,09,September,Sep,9,09,9th,"9th September, 1994","Sep 9, 1994",1994-09-09,12811
1994,9,09,September,Sep,10,10,10th,"10th September, 1994","Sep 10, 1994",1994-09-10,9424
1994,9,09,September,Sep,11,11,11th,"11th September, 1994","Sep 11, 1994",1994-09-11,8373
1994,9,09,September,Sep,12,12,12th,"12th September, 1994","Sep 12, 1994",1994-09-12,11500
1994,9,09,September,Sep,13,13,13th,"13th September, 1994","Sep 13, 1994",1994-09-13,12560
1994,9,09,September,Sep,14,14,14th,"14th September, 1994","Sep 14, 1994",1994-09-14,12566
1994,9,09,September,Sep,15,15,15th,"15th September, 1994","Sep 15, 1994",1994-09-15,12655
1994,9,09,September,Sep,16,16,16th,"16th September, 1994","Sep 16, 1994",1994-09-16,12884
1994,9,09,September,Sep,17,17,17th,"17th September, 1994","Sep 17, 1994",1994-09-17,9779
1994,9,09,September,Sep,18,18,18th,"18th September, 1994","Sep 18, 1994",1994-09-18,8603
1994,9,09,September,Sep,19,19,19th,"19th September, 1994","Sep 19, 1994",1994-09-19,11659
1994,9,09,September,Sep,20,20,20th,"20th September, 1994","Sep 20, 1994",1994-09-20,12584
1994,9,09,September,Sep,21,21,21st,"21st September, 1994","Sep 21, 1994",1994-09-21,12468
1994,9,09,September,Sep,22,22,22nd,"22nd September, 1994","Sep 22, 1994",1994-09-22,12590
1994,9,09,September,Sep,23,23,23rd,"23rd September, 1994","Sep 23, 1994",1994-09-23,12522
1994,9,09,September,Sep,24,24,24th,"24th September, 1994","Sep 24, 1994",1994-09-24,9597
1994,9,09,September,Sep,25,25,25th,"25th September, 1994","Sep 25, 1994",1994-09-25,8754
1994,9,09,September,Sep,26,26,26th,"26th September, 1994","Sep 26, 1994",1994-09-26,11597
1994,9,09,September,Sep,27,27,27th,"27th September, 1994","Sep 27, 1994",1994-09-27,12591
1994,9,09,September,Sep,28,28,28th,"28th September, 1994","Sep 28, 1994",1994-09-28,12405
1994,9,09,September,Sep,29,29,29th,"29th September, 1994","Sep 29, 1994",1994-09-29,12288
1994,9,09,September,Sep,30,30,30th,"30th September, 1994","Sep 30, 1994",1994-09-30,12090
1994,10,10,October,Oc,1,01,1st,"1st October, 1994","Oc 1, 1994",1994-10-01,9351
1994,10,10,October,Oc,2,02,2nd,"2nd October, 1994","Oc 2, 1994",1994-10-02,8477
1994,10,10,October,Oc,3,03,3rd,"3rd October, 1994","Oc 3, 1994",1994-10-03,11437
1994,10,10,October,Oc,4,04,4th,"4th October, 1994","Oc 4, 1994",1994-10-04,12378
1994,10,10,October,Oc,5,05,5th,"5th October, 1994","Oc 5, 1994",1994-10-05,12061
1994,10,10,October,Oc,6,06,6th,"6th October, 1994","Oc 6, 1994",1994-10-06,12017
1994,10,10,October,Oc,7,07,7th,"7th October, 1994","Oc 7, 1994",1994-10-07,12050
1994,10,10,October,Oc,8,08,8th,"8th October, 1994","Oc 8, 1994",1994-10-08,8981
1994,10,10,October,Oc,9,09,9th,"9th October, 1994","Oc 9, 1994",1994-10-09,8038
1994,10,10,October,Oc,10,10,10th,"10th October, 1994","Oc 10, 1994",1994-10-10,11110
1994,10,10,October,Oc,11,11,11th,"11th October, 1994","Oc 11, 1994",1994-10-11,12236
